N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1,삼성전자,"49,600",250,-0.50%,100,"2,961,012","5,969,783",55.23,"10,309,480",15.67,8.69,https://finance.naver.com/item/main.nhn?code=005930,005930
2,SK하이닉스,"83,000",400,+0.48%,"5,000","604,242","728,002",48.60,"2,315,642",30.02,4.25,https://finance.naver.com/item/main.nhn?code=000660,000660
3,삼성바이오로직스,"585,000","3,000",-0.51%,"2,500","387,065","66,165",10.44,"146,804",190.74,4.77,https://finance.naver.com/item/main.nhn?code=207940,207940
4,삼성전자우,"42,500",250,-0.58%,100,"349,727","822,887",88.69,"782,184",13.42,N/A,https://finance.naver.com/item/main.nhn?code=005935,005935
5,NAVER,"196,500","1,000",-0.51%,100,"322,778","164,263",57.90,"309,378",55.54,10.56,https://finance.naver.com/item/main.nhn?code=035420,035420
6,셀트리온,"209,000","3,500",-1.65%,"1,000","281,537","134,707",20.13,"549,568",94.53,11.19,https://finance.naver.com/item/main.nhn?code=068270,068270
7,LG화학,"361,000","7,500",+2.12%,"5,000","254,838","70,592",37.27,"492,605",90.18,1.84,https://finance.naver.com/item/main.nhn?code=051910,051910
8,LG생활건강,"1,369,000","26,000",-1.86%,"5,000","213,813","15,618",43.78,"41,732",31.17,20.32,https://finance.naver.com/item/main.nhn?code=051900,051900
9,현대차,"93,200","1,600",+1.75%,"5,000","199,139","213,668",34.12,"1,158,104",8.66,4.32,https://finance.naver.com/item/main.nhn?code=005380,005380
10,삼성SDI,"280,500","1,500",+0.54%,"5,000","192,884","68,765",42.11,"415,235",55.37,2.94,https://finance.naver.com/item/main.nhn?code=006400,006400
11,삼성물산,"100,500",800,+0.80%,100,"190,638","189,690",14.42,"277,482",18.31,4.77,https://finance.naver.com/item/main.nhn?code=028260,028260
12,SK텔레콤,"214,000","1,000",+0.47%,500,"172,796","80,746",37.18,"150,892",19.42,3.92,https://finance.naver.com/item/main.nhn?code=017670,017670
13,현대모비스,"167,500",0,0.00%,"5,000","159,217","95,055",45.84,"244,729",7.02,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
14,카카오,"183,000","1,000",-0.54%,500,"159,132","86,957",30.51,"531,782",-51.05,-5.81,https://finance.naver.com/item/main.nhn?code=035720,035720
15,POSCO,"176,500","2,500",+1.44%,"5,000","153,885","87,187",50.57,"282,027",8.39,4.18,https://finance.naver.com/item/main.nhn?code=005490,005490
16,한국전력,"23,850",0,0.00%,"5,000","153,108","641,964",22.44,"3,845,800",-6.53,-3.42,https://finance.naver.com/item/main.nhn?code=015760,015760
17,신한지주,"30,100",100,+0.33%,"5,000","145,212","482,432",63.93,"2,732,283",4.30,9.09,https://finance.naver.com/item/main.nhn?code=055550,055550
18,KB금융,"34,000",200,-0.58%,"5,000","141,375","415,808",65.96,"3,183,057",4.29,8.92,https://finance.naver.com/item/main.nhn?code=105560,105560
19,엔씨소프트,"640,000","10,000",+1.59%,500,"140,506","21,954",50.52,"67,654",39.22,14.72,https://finance.naver.com/item/main.nhn?code=036570,036570
20,SK,"181,000","2,500",+1.40%,200,"127,352","70,360",23.75,"109,013",17.90,4.31,https://finance.naver.com/item/main.nhn?code=034730,034730
21,삼성에스디에스,"158,500",500,-0.31%,500,"122,644","77,378",12.13,"116,592",16.65,11.76,https://finance.naver.com/item/main.nhn?code=018260,018260
22,기아차,"29,350",750,+2.62%,"5,000","118,974","405,363",39.07,"1,692,630",6.51,6.50,https://finance.naver.com/item/main.nhn?code=000270,000270
23,KT&G,"79,800",600,-0.75%,"5,000","109,559","137,292",45.87,"340,467",10.57,12.39,https://finance.naver.com/item/main.nhn?code=033780,033780
24,LG,"62,000",300,-0.48%,"5,000","106,985","172,557",34.80,"123,098",10.10,5.87,https://finance.naver.com/item/main.nhn?code=003550,003550
25,아모레퍼시픽,"176,000","4,500",+2.62%,500,"102,887","58,458",29.58,"481,994",50.87,5.36,https://finance.naver.com/item/main.nhn?code=090430,090430
26,삼성생명,"49,200",100,-0.20%,500,"98,400","200,000",13.51,"475,856",10.07,3.26,https://finance.naver.com/item/main.nhn?code=032830,032830
27,삼성화재,"191,000",500,-0.26%,500,"90,486","47,375",47.48,"53,660",15.02,4.85,https://finance.naver.com/item/main.nhn?code=000810,000810
28,SK이노베이션,"96,600","1,000",-1.02%,"5,000","89,322","92,466",25.51,"438,163",-253.54,-0.20,https://finance.naver.com/item/main.nhn?code=096770,096770
29,LG전자,"53,600",200,+0.37%,"5,000","87,715","163,648",30.84,"549,064",309.83,0.22,https://finance.naver.com/item/main.nhn?code=066570,066570
